index,peril,value_prod_0.0,value_prod_1.0,value_prod_10.0,value_prod_15.0,value_prod_15.110844793433325,value_prod_2.0,value_prod_20.0,value_prod_25.0,value_prod_26.679050697933775,value_prod_3.0,value_prod_30.0,value_prod_35.0,value_prod_4.0,value_prod_40.0,value_prod_45.0,value_prod_5.0,value_prod_50.0,value_prod_55.0,value_prod_6.0,value_prod_60.0,value_prod_65.0,value_prod_7.0,value_prod_70.0,value_prod_75.0,value_prod_8.0,value_prod_80.0,value_prod_85.0,value_prod_9.0,value_prod_90.0,value_prod_94.29374169489557,value_prod_Extreme,value_prod_Low,value_prod_Moderate,value_prod_Severe,value_stage_0,value_stage_1,value_stage_10,value_stage_15,value_stage_2,value_stage_20,value_stage_25,value_stage_3,value_stage_4,value_stage_5,value_stage_6,value_stage_7,value_stage_8,value_stage_9,value_stage_Extreme,value_stage_Low,value_stage_Moderate,value_stage_Severe
0,Lightning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0000000000287557e-06,0.029522000000000048,0.012766000000000055,0.01178800000000002
0,Max Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999999,,0.283609,0.017278000000000016,,0.0007900000000000684,1.0000000000287557e-06,,,0.99876,,,,,,,,
0,MaxWindSpeed,100.0,,3.6608,0.0003,0.0001,,,,,,,,,,,92.4712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rain,60.3769,1.9236,,,,0.3384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5414140000000001,0.009272000000000058,,,0.0025049999999999795,,,0.0011970000000000036,0.0011660000000000004,,,,,,,,,
1,Lightning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0000000000287557e-06,1.0000000000287557e-06,1.0000000000287557e-06,1.0000000000287557e-06
1,Max Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999927,,0.457622,0.15245600000000004,,0.012580000000000036,0.0006300000000000194,,,0.8915420000000001,,,,,,,,
1,MaxWindSpeed,99.9975,,34.274,5.5943,,,0.2668,0.0039,0.0001,,,,,,,82.5273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rain,80.8237,55.2499,2.9143,0.6488,,37.7382,0.2604,0.1111,,27.2126,0.044,0.0177,20.477,0.0092,0.0092,15.7632,0.0092,0.0092,12.0769,0.0044,0.0042,9.0605,0.0042,0.0042,6.5033,0.0042,0.0042,4.4323,0.0042,0.0001,,,,,0.705711,0.36511899999999997,0.03398500000000004,0.007835000000000036,0.277022,0.0015490000000000226,5.6000000000056005e-05,0.21858699999999998,0.17220199999999997,0.13215699999999997,0.10385600000000006,0.07963900000000002,0.057594000000000034,0.04482300000000006,,,,
